iter	Logloss
0	0.6505286364
1	0.6100166062
2	0.5790518741
3	0.5449168858
4	0.5148586335
5	0.4887025923
6	0.4606319104
7	0.4353942446
8	0.4100810878
9	0.3901421318
10	0.3699364344
11	0.3543539528
12	0.3384702043
13	0.3238403917
14	0.3088695645
15	0.2977991679
16	0.2867763834
17	0.2771847294
18	0.265999312
19	0.2533785623
20	0.243000174
21	0.2361010578
22	0.2283840123
23	0.2191800122
24	0.2130858948
25	0.2042936026
26	0.1994305696
27	0.1919939917
28	0.1862737692
29	0.1798989655
30	0.1750120562
31	0.1693653329
32	0.1644119838
33	0.1597945871
34	0.1556664298
35	0.1528715616
36	0.147907367
37	0.143584156
38	0.140625705
39	0.1365079696
40	0.1327466897
41	0.1305423983
42	0.1278178513
43	0.1240623313
44	0.1216355521
45	0.1188371862
46	0.1159855884
47	0.1126397343
48	0.1099243332
49	0.1077120649
50	0.1061337693
51	0.1041402303
52	0.1026581902
53	0.09999811181
54	0.0983829603
55	0.09600716233
56	0.09421097319
57	0.09264171265
58	0.09126333123
59	0.0897511958
60	0.08812481386
61	0.08657756254
62	0.08495699402
63	0.08359902849
64	0.08162802476
65	0.08053958229
66	0.07914412431
67	0.07772123665
68	0.07611874323
69	0.07519312946
70	0.07409513167
71	0.07325508507
72	0.07272908298
73	0.07157959229
74	0.07047454675
75	0.06977387992
76	0.06906729325
77	0.06786370271
78	0.06673518983
79	0.06604037888
80	0.06454646697
81	0.06393006124
82	0.06280602854
83	0.0619999605
84	0.06151164153
85	0.06092461918
86	0.05984184107
87	0.05886162608
88	0.05826439938
89	0.05765444306
90	0.05700106726
91	0.05659813148
92	0.05603960945
93	0.0553192175
94	0.0546085783
95	0.05417168799
96	0.05374336308
97	0.05307072052
98	0.05245072605
99	0.05189445087
100	0.05169137908
101	0.05115359657
102	0.05059816754
103	0.0501435743
104	0.04949373774
105	0.04912173368
106	0.04880474421
107	0.04847166539
108	0.0477658626
109	0.04707183443
110	0.04636285758
111	0.04607061645
112	0.04556804185
113	0.04512298323
114	0.0446039022
115	0.04424088855
116	0.0437873191
117	0.04343788912
118	0.04298848009
119	0.04257457858
120	0.04218290191
121	0.0417364391
122	0.04139634852
123	0.04110168587
124	0.04101545799
125	0.04054954452
126	0.04020167804
127	0.03975546636
128	0.03940559994
129	0.03898347759
130	0.0386196886
131	0.03836231865
132	0.03805547646
133	0.03785293885
134	0.03754457092
135	0.03724336331
136	0.03706961972
137	0.03681199142
138	0.03644179034
139	0.03620462854
140	0.03595993848
141	0.03568615801
142	0.0353822064
143	0.0350362603
144	0.03462996501
145	0.03446553416
146	0.03428359953
147	0.03397101282
